LOCATION,MNF_YEAR,BRAND,MODEL,VARIANT,DRIVEN_KM,FUELTYPE,NOOF_OWNERS,PRICE
New Delhi,2016,Maruti,Vitara Brezza VDI,Manual,"78,346 km",Diesel,1st Owner,"₹6,14,599"
New Delhi,2017,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"80,312 km",Diesel,1st Owner,"₹7,10,999"
New Delhi,2018,Maruti,Vitara Brezza LDI OPT,Manual,"74,994 km",Diesel,1st Owner,"₹5,71,299"
New Delhi,2012,Toyota,Innova 2.5 GX 8 STR BS IV,Manual,"1,70,256 km",Diesel,3rd Owner,"₹5,89,999"
New Delhi,2015,Hyundai,Creta 1.6 SX (O) CRDI,Manual,"86,384 km",Diesel,1st Owner,"₹8,69,499"
New Delhi,2013,Toyota,Innova 2.5 GX 7 STR BS IV,Manual,"1,57,858 km",Diesel,1st Owner,"₹5,74,699"
New Delhi,2016,Hyundai,Creta 1.6 SX CRDI,,"1,99,241 km",Diesel,1st Owner,"₹7,60,499"
New Delhi,2014,Toyota,Innova 2.5 VX 8 STR BS IV,Manual,"69,781 km",Diesel,1st Owner,"₹9,92,699"
New Delhi,2013,Toyota,Innova 2.5 GX 7 STR BS IV,Manual,"1,12,846 km",Diesel,3rd Owner,"₹5,42,899"
New Delhi,2016,Maruti,Vitara Brezza VDI,Manual,"1,11,613 km",Diesel,1st Owner,"₹5,09,199"
New Delhi,2014,Maruti,Ertiga ZDI,Manual,"94,734 km",Diesel,2nd Owner,"₹5,37,699"
New Delhi,2014,Toyota,Innova 2.5 VX 7 STR BS IV,Manual,"1,54,486 km",Diesel,2nd Owner,"₹7,41,599"
New Delhi,2015,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"1,40,707 km",Diesel,2nd Owner,"₹4,60,799"
New Delhi,2017,Maruti,Vitara Brezza VDI OPT,Manual,"1,48,504 km",Diesel,1st Owner,"₹7,14,599"
New Delhi,2012,Toyota,Innova 2.5 VX 8 STR BS IV,Manual,"2,43,904 km",Diesel,1st Owner,"₹4,81,299"
New Delhi,2015,Hyundai,Creta 1.6 SX (O) CRDI,Manual,"24,325 km",Diesel,1st Owner,"₹9,12,399"
New Delhi,2018,Maruti,Vitara Brezza ZDI,Manual,"26,816 km",Diesel,1st Owner,"₹8,53,199"
New Delhi,2015,Mahindra,Scorpio S4PLUS,Manual,"82,667 km",Diesel,1st Owner,"₹6,45,099"
New Delhi,2017,Maruti,Vitara Brezza VDI OPT,Manual,"42,723 km",Diesel,1st Owner,"₹6,98,399"
New Delhi,2019,Maruti,Vitara Brezza VDI,Manual,"33,431 km",Diesel,1st Owner,"₹7,82,399"
New Delhi,2017,Maruti,Ertiga ZXI PLUS,Manual,"44,971 km",Petrol,1st Owner,"₹6,56,599"
New Delhi,2016,Ford,Ecosport 1.5 AMBIENTE TDCI,Manual,"52,755 km",Diesel,2nd Owner,"₹4,91,099"
New Delhi,2016,Maruti,Ertiga VDI SHVS,Manual,"52,103 km",Diesel,1st Owner,"₹6,35,499"
New Delhi,2020,Hyundai,Creta S CRDI,,"27,629 km",Diesel,1st Owner,"₹14,31,999"
New Delhi,2017,Hyundai,Creta 1.6 SX PLUS DIESEL,Manual,"31,362 km",Diesel,1st Owner,"₹9,77,699"
